Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2021-11-11,63548.1434171405,66281.5697112403,63557.8715183709,65521.2893420962,30558763548.22,63335.69135647228,66239.90652629793,64782.17714428261,0,0
2021-11-12,59016.3371572465,63721.1951940329,60161.2470371667,63721.1951940329,46844335591.65,63309.360714016926,66519.51585551584,64848.83878239886,2,0
2021-11-13,58515.4098924661,60823.6105180456,60368.0118167649,60139.6201092629,39178392930.24,58436.92546368115,62311.162088546225,60567.74361727501,0,0
2021-11-14,56550.7916436038,60948.4984361572,56942.1362440572,60360.1376899776,41388338699.24,58541.18618388704,61435.12668319904,60282.51999933598,1,0
2021-11-15,55705.1806847159,58351.1132659249,58119.5761937925,56896.128680164,38702407772.13,54838.17512729112,59213.77212184772,56965.66957479283,2,0
2021-11-16,57469.725660869,59859.8804420403,59697.1971342589,58115.0803464697,30624264862.85,56664.13044361241,59366.672442667485,58144.99801110657,0,0
2021-11-17,58618.9314315245,60004.4263827568,58730.4766386507,59730.5079742192,26123447605.05,58249.249554241964,60182.511045969906,59694.56789877136,1,0
2021-11-18,55679.8404036725,59266.35846819,56289.2873226386,58706.8493839442,35036121783.1,57742.12588890058,60132.41145017382,58910.93336473899,2,0
2021-11-19,55632.7599123359,57875.5163965831,57569.0748757271,56304.5553876631,37485803898.95,54605.85485575417,58125.867207731484,56209.99733826397,1,0
2021-11-20,55964.2210698342,57803.0665250198,56280.4271082207,57565.8501077567,36635566788.68,55478.03016059829,58740.39778306264,57388.54268851505,0,0
2021-11-21,57146.6852020181,59367.9679943132,57274.6794471653,57165.4172722878,34284016247.69,54320.30422022389,57829.570847893505,56042.655761694434,0,1
2021-11-22,53569.7639630968,59183.4814705583,53569.7639630968,58960.2851828641,41810748221.23,56176.43301411512,59577.780924474864,57989.49436233116,2,0
2021-11-23,53668.3552191285,55329.2596495755,54815.079304928,53736.4315256188,30560857714.07,52582.72298875497,56929.4450968369,54985.43262986401,0,1
2021-11-24,53576.7358175684,57393.8437511678,57248.458375824,54813.0247017865,28116886356.83,53391.66507554874,56351.8883151655,55022.03213714657,0,1
2021-11-25,56792.5254079788,58872.8805776195,57806.5662152559,57291.904734501,32370840356.0,54299.12483160625,58206.002042701366,56141.10053084564,1,0
2021-11-26,56057.2822340064,59113.4009013998,57005.4254735998,57830.1138192706,36708594617.63,56403.17606833927,59178.48943937074,57682.28339911455,0,0
2021-11-27,56553.0807744684,59041.6852434855,57229.8298994492,56907.9667338266,36858195306.81,55066.33572862057,58851.65817192355,56855.744963676254,0,0
2021-11-28,55895.1328619811,57349.2349793262,56477.8174777821,57217.371048472,32379968685.55,55003.56453643184,58795.91584590811,56593.74195040539,0,0
2021-11-29,52496.5853617419,57482.1692659699,53598.2464702979,56509.1653563906,39789134214.89,54338.10426114353,58173.62062333072,56141.26599255711,0,0
2021-11-30,42874.6168583905,53904.6795117967,49200.7046174372,53727.87808735,61385677468.79,52245.72229670955,56845.85997910074,54805.25990837241,2,0
2021-12-01,47857.4968720903,49768.1489762985,49368.8470992255,49201.5184010156,37198201161.44,47856.03119482529,51433.11618339493,49977.612538035144,0,0
2021-12-02,47281.0353797585,50929.5190938323,50582.6253966441,49413.4790992129,37707308001.13,48204.46308240966,51257.15261748989,50068.33782304135,0,0
2021-12-03,50175.8075210566,51934.7818955124,50700.0843364829,50581.8300495181,33676814851.61,48995.609818293466,52003.45162735716,50525.587268088326,1,0
2021-12-04,48765.9869210097,51171.3753104053,50504.7955387084,50667.6476830609,28479699445.97,49805.91762213104,52605.22484757892,51130.13640987144,2,0
2021-12-05,47358.353270501,50797.1654408922,47672.1223910874,50450.0820524109,29603577250.59,49090.18375224839,51894.47320497462,50448.76021455864,1,0
2021-12-06,47023.6980210468,50015.2529873873,47243.3056849164,47642.1435531842,30966005122.3,46484.95537340413,49378.2111385764,47310.63505857879,0,0
2021-12-07,46942.3478207253,49458.2127878793,49362.508336459,47264.6347033978,25775869261.33,44802.43527790134,49102.89657842538,46745.55582885321,0,0
2021-12-08,48725.8530226358,50724.8657399937,50098.3351363893,49354.8549351623,21939223598.97,48557.54350341659,51140.71345840461,50220.86665380208,2,0
2021-12-09,45894.8473948431,50204.9982632709,46737.48224375,50114.7409911263,32166727776.26,48601.250049579474,51624.5801726212,50446.071763839514,0,0
2021-12-10,46424.4960219948,48431.3995664936,46612.6335069029,46709.8224590995,34638619079.14,43881.40682235434,48608.62285511004,46271.40932280755,1,1
2021-12-11,46671.9667448597,49473.9557896173,48896.7208291144,48379.7542277397,36541828519.8,43807.87910993456,48261.045829151524,46145.65362635512,0,1
2021-12-12,47529.8807655215,49425.5731432585,47665.426077884,48900.462910626,27268150946.58,48540.88978424533,50269.768959250985,49647.16751149656,2,0
2021-12-13,45618.2160839731,48004.8937503772,46202.143379147,47653.7298524917,32902725329.31,46915.13232195594,49169.87608400026,47144.381405514134,1,0
2021-12-14,45598.4426124471,47313.8287806201,46848.7767655561,46219.2554163103,26098292689.86,43140.37847544609,46978.48005616016,44989.2414941964,0,1
2021-12-15,46502.9545467562,48089.6643521108,46707.0148769996,46853.8680030434,25154053860.63,44060.57256082443,48159.48120037714,46394.77255480522,0,1
2021-12-16,45579.8101425366,47401.7179482003,46880.2789637231,46707.0644512279,30961902128.91,43977.28046084422,48092.367538810395,46194.84800202346,0,1
2021-12-17,46698.7741152543,49300.9197060746,48936.6141514468,46886.0774573853,27055803927.85,44970.91656776869,48053.582906477255,46893.41099037629,2,1
2021-12-18,48450.9397297104,49544.7964416088,48628.509925134,48937.0963391141,24447979558.59,48157.58913775881,50040.83592903367,49341.61649859313,0,0
2021-12-19,48065.8375264037,51332.340378309,50784.5381788605,48626.3437822023,28223878107.92,47441.815872580126,49991.01529570733,48912.1831712649,0,0
2021-12-20,50514.4942908966,51814.0285054983,50822.1965232303,50806.0505029799,24367912228.26,48676.09160725691,51640.25324768668,50321.781395241844,1,0
2021-12-21,50236.7065001331,51176.5987876064,50429.8577970562,50854.9186725144,19030650914.0,48809.24616390132,52273.98616020053,50609.53112263327,0,2
2021-12-22,49623.1042072232,51196.3772869711,50809.5150128895,50428.6926963893,20964372925.86,48583.64646255451,52067.49487964557,50473.33824379325,2,2
2021-12-23,50499.4686759577,51956.3263547044,50640.4188043781,50802.6089327853,24324345757.98,48224.00821850158,51815.56969254287,50222.726091703524,1,0
2021-12-24,47414.2099253189,50679.8593770298,47588.8547774592,50679.8593770298,33430376883.39,48272.49581158861,52166.52985603993,50388.83281503045,0,2
2021-12-25,46201.4943709627,48119.7409498776,46444.7104905398,47623.8704633248,30049226299.49,46620.418804568966,49264.05579844791,47527.75611044573,0,0
2021-12-26,46060.3131660207,47879.9654999821,47178.1258434398,46490.6060493554,26686491018.4,44211.57857831994,47325.19016673364,45786.15569232924,0,1
2021-12-27,45819.9545532818,48472.527490225,46306.4461226996,47169.3728586211,36974172399.58,45261.133173874536,48232.795100570496,46938.706379092386,0,1
2021-12-28,46288.4860950468,47827.3109946009,47686.8115091782,46311.744663041,24582667004.25,44006.598059784694,47236.74822699258,45614.89060837405,0,1
2021-12-29,46856.9363097429,47881.4062331606,47345.220564253,47680.9266248301,27951569547.04,46825.61215091377,48605.959633383696,47401.77616650421,0,0
2021-12-30,45835.9630254063,47510.7261749285,46458.1169588914,47343.543765149,33071628361.52,46320.461794668554,48362.69835819038,47342.486609638836,0,0
2021-12-31,45752.4635620531,47406.5483021772,45897.5758267783,46458.8514444139,42494677904.76,44087.21367115768,47246.223138643974,45717.54626231404,0,1
2022-01-01,42798.2242591564,46929.0457944863,43569.0033476498,45899.3587395826,36851084858.53,44070.90900753816,47090.41633649503,45611.12072770317,0,0
2022-01-02,42645.5409516768,43748.7203109931,43160.9284196054,43565.5117270679,30208048288.93,43034.22041295829,45684.21647018914,44506.86288180272,2,0
2022-01-03,41077.4462015482,43153.5708757533,41557.9011609709,43153.5708757533,84196607519.83,41634.79743039158,43990.25412985095,42934.94725707312,1,0
2022-01-04,40672.2754483568,42228.9420354353,41733.9430988926,41561.4658676891,28066355845.13,40186.98671792136,43475.93861843993,41611.876262927944,2,1
2022-01-05,41338.1597064035,42663.9504824008,41911.6015363357,41734.727562932,21294384372.18,38830.600025137595,43197.26168118774,40624.17984273558,1,1
2022-01-06,39796.571708349,42199.4850422173,41821.2631390031,41910.2308272178,32104232330.73,38721.945322034124,43249.41416789414,40116.58943662738,0,1
2022-01-07,41407.7538730793,43001.1571213205,42735.8541195077,41819.5069706213,26327648900.42,37943.55209662011,42716.263953049114,40226.19229492334,0,1
2022-01-08,42528.9864452659,44135.3685087135,43949.1006867819,42742.1784059514,33499938688.54,39108.169064598296,43402.09189588897,40661.512715902536,0,1
2022-01-09,42447.0441520643,44278.4232566127,42591.5722580306,43946.7417177351,47691135081.85,41004.56265931797,46300.21208573933,43478.294178720535,0,0
2022-01-10,41982.6166524365,43346.6885657206,43099.6998283297,42598.872888975,23577403398.89,39676.51989541733,43382.59609481394,41052.24203535269,0,1
2022-01-11,42669.0352201934,43724.6731845297,43177.3967900803,43101.899610764,18371348297.75,40834.92994530119,43762.971655801375,42142.53691401134,0,0
2022-01-12,42691.0242340791,43436.8075003502,43113.8801137778,43172.0388946744,17902097844.6,41074.20677003996,43757.55110594269,42229.77542102733,0,0
2022-01-13,41680.3215634165,43179.3911030298,42250.5493732401,43118.1201015099,21690904261.18,40846.431869376946,43497.05050675094,42278.60205772159,0,0
2022-01-14,41392.216698751,42534.4039185478,42375.6328430686,42250.0731446126,22417209226.95,40556.30317367492,43430.072924608416,41464.43924632242,0,0
2022-01-15,41242.9131156818,42478.3048443432,41744.3298424627,42374.0406120285,23091543257.9,40416.1658898001,43314.21263764567,41528.3269328327,0,0
2022-01-16,40672.8238483266,43413.0239423642,40680.4199136003,41744.0280591734,20382033939.59,40364.74579233576,43174.7315591004,41485.444701900225,0,1
