Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2021-11-11,4519.8,4700.0,4630.25,4647.35,784657.0,2150.5886,-10323.747,7625.1167,0,0
2021-11-12,4547.1,4773.5,4566.65,4630.25,1134969.0,1811.0176,-11918.971,8809.1455,2,0
2021-11-13,4109.65,4566.6,4215.7,4566.65,2089511.0,1503.0042,-13292.315,9586.715,0,0
2021-11-14,4075.4,4306.55,4292.35,4215.7,1365130.0,814.27203,-15855.007,12281.395,0,0
2021-11-15,3964.55,4347.5,4001.85,4292.35,1736857.0,445.67496,-18192.535,13692.712,0,0
2021-11-16,3979.85,4314.8,4302.95,4001.85,1068785.0,739.24475,-20883.12,14419.055,0,0
2021-11-17,4211.0,4445.3,4417.65,4302.95,854283.0,1306.2378,-23870.97,15287.247,0,0
2021-11-18,4247.0,4460.5,4264.55,4417.65,894136.0,1404.9404,-25174.389,15000.028,0,0
2021-11-19,4028.55,4330.3,4096.9,4264.55,1325037.0,1319.3242,-26132.748,15311.68,0,0
2021-11-20,4064.1,4391.65,4343.25,4096.9,1212814.0,1238.2883,-27114.52,15805.214,0,0
2021-11-21,4173.8,4378.75,4273.35,4343.25,1114620.0,1172.8483,-27988.412,16257.825,0,1
2021-11-22,4251.7,4559.0,4528.4,4273.35,1175263.0,1283.4878,-28709.775,16246.392,0,1
2021-11-23,3920.0,4557.45,4047.85,4528.4,2873450.0,1388.6465,-28993.697,16187.022,0,1
2021-11-24,4035.6,4191.05,4100.95,4047.85,763616.0,1314.44,-29172.998,16188.357,0,1
2021-11-25,3963.2,4308.15,4306.3,4100.95,1323024.0,1269.9717,-29174.389,16593.178,0,1
2021-11-26,4283.2,4469.4,4449.15,4306.3,1167205.0,1049.0619,-29211.906,16513.557,0,1
2021-11-27,4353.85,4762.95,4635.2,4449.15,1861075.0,1146.5848,-29289.092,16184.362,0,1
2021-11-28,4531.0,4785.5,4590.05,4635.2,1254518.0,1236.2129,-28513.467,15470.74,0,1
2021-11-29,4440.0,4643.85,4519.0,4590.05,1089892.0,1179.2589,-27129.377,14872.227,0,1
2021-11-30,4048.5,4661.5,4221.15,4519.0,2564088.0,857.023,-25755.83,14819.192,0,1
2021-12-01,3424.1,4241.6,4129.15,4221.15,2810973.0,516.41425,-24631.734,14839.969,0,1
2021-12-02,4046.0,4257.7,4214.95,4129.15,1206294.0,540.58093,-24908.236,15414.265,0,1
2021-12-03,3926.05,4386.5,4359.75,4214.95,2062715.0,611.40076,-25912.477,15392.703,0,1
2021-12-04,4265.65,4432.85,4317.5,4359.75,1148546.0,717.3646,-26882.469,15522.214,0,1
2021-12-05,4231.1,4462.85,4447.35,4317.5,1302962.0,922.6543,-27600.385,15240.4,0,1
2021-12-06,4082.95,4495.55,4111.35,4447.35,1125839.0,816.217,-27699.283,15451.43,0,1
2021-12-07,3892.6,4237.55,3902.25,4111.35,1744606.0,767.4991,-27715.984,15536.383,0,1
2021-12-08,3840.0,4104.1,4095.0,3902.25,1164330.0,797.2036,-27761.473,15972.81,0,1
2021-12-09,3987.7,4181.05,4133.8,4095.0,864387.0,759.8435,-27833.164,16013.267,0,1
