Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2021-11-11,4519.8,4700.0,4630.25,4647.35,784657.0,2395.2112,3145.658,909.2167,0,0
2021-11-12,4547.1,4773.5,4566.65,4630.25,1134969.0,2425.2153,3136.455,922.6448,0,0
2021-11-13,4109.65,4566.6,4215.7,4566.65,2089511.0,2388.1309,3102.622,825.00543,0,0
2021-11-14,4075.4,4306.55,4292.35,4215.7,1365130.0,1959.023,2758.1155,825.9176,0,0
2021-11-15,3964.55,4347.5,4001.85,4292.35,1736857.0,1905.4226,2704.841,1259.1237,0,0
2021-11-16,3979.85,4314.8,4302.95,4001.85,1068785.0,2474.8303,3071.7837,843.7005,0,0
2021-11-17,4211.0,4445.3,4417.65,4302.95,854283.0,2088.6938,2774.4229,719.2644,0,0
2021-11-18,4247.0,4460.5,4264.55,4417.65,894136.0,2365.995,2947.5317,219.69121,0,0
2021-11-19,4028.55,4330.3,4096.9,4264.55,1325037.0,2095.9287,2728.9324,93.20348,0,0
2021-11-20,4064.1,4391.65,4343.25,4096.9,1212814.0,1842.8031,2490.194,412.4611,0,0
2021-11-21,4173.8,4378.75,4273.35,4343.25,1114620.0,2256.7273,2967.972,638.2765,0,1
2021-11-22,4251.7,4559.0,4528.4,4273.35,1175263.0,2368.2297,2990.0076,111.279076,0,1
2021-11-23,3920.0,4557.45,4047.85,4528.4,2873450.0,2195.5159,2814.841,175.93695,0,1
2021-11-24,4035.6,4191.05,4100.95,4047.85,763616.0,2026.4025,2620.3425,133.97566,0,1
2021-11-25,3963.2,4308.15,4306.3,4100.95,1323024.0,1806.3297,2489.0215,551.91583,0,1
2021-11-26,4283.2,4469.4,4449.15,4306.3,1167205.0,2535.0667,3224.3132,384.1198,0,1
2021-11-27,4353.85,4762.95,4635.2,4449.15,1861075.0,2436.8953,3068.6743,-22.416784,0,1
2021-11-28,4531.0,4785.5,4590.05,4635.2,1254518.0,2548.5552,3075.3748,-56.803905,0,1
2021-11-29,4440.0,4643.85,4519.0,4590.05,1089892.0,2457.9229,3014.4785,286.9142,0,1
2021-11-30,4048.5,4661.5,4221.15,4519.0,2564088.0,2329.584,2950.2014,319.86993,0,1
2021-12-01,3424.1,4241.6,4129.15,4221.15,2810973.0,2399.7026,3045.892,444.76187,0,1
