Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2021-11-11,4519.8,4700.0,4630.25,4647.35,784657.0,2740.27,3129.3127,2233.0522,0,0
2021-11-12,4547.1,4773.5,4566.65,4630.25,1134969.0,2617.184,3000.7205,2324.9504,0,0
2021-11-13,4109.65,4566.6,4215.7,4566.65,2089511.0,2505.9087,2885.6787,2265.7954,0,0
2021-11-14,4075.4,4306.55,4292.35,4215.7,1365130.0,2380.4429,2738.966,2386.488,0,0
2021-11-15,3964.55,4347.5,4001.85,4292.35,1736857.0,2333.566,2679.8591,2231.5928,0,0
2021-11-16,3979.85,4314.8,4302.95,4001.85,1068785.0,2033.7522,2380.5115,2097.402,0,0
2021-11-17,4211.0,4445.3,4417.65,4302.95,854283.0,2057.0137,2386.7808,1778.336,0,0
2021-11-18,4247.0,4460.5,4264.55,4417.65,894136.0,1912.4923,2239.7993,1534.743,0,0
2021-11-19,4028.55,4330.3,4096.9,4264.55,1325037.0,1775.0051,2058.1768,1452.0114,0,0
2021-11-20,4064.1,4391.65,4343.25,4096.9,1212814.0,1546.2684,1808.244,1733.6748,0,0
2021-11-21,4173.8,4378.75,4273.35,4343.25,1114620.0,1605.9224,1871.3679,2000.6328,0,1
2021-11-22,4251.7,4559.0,4528.4,4273.35,1175263.0,1596.0726,1858.2767,1798.6864,0,1
2021-11-23,3920.0,4557.45,4047.85,4528.4,2873450.0,1625.016,1878.7515,1514.8047,0,1
2021-11-24,4035.6,4191.05,4100.95,4047.85,763616.0,1427.3665,1673.0752,1584.1289,0,1
2021-11-25,3963.2,4308.15,4306.3,4100.95,1323024.0,1438.9011,1662.7971,1758.0586,0,1
2021-11-26,4283.2,4469.4,4449.15,4306.3,1167205.0,1534.1995,1779.017,1976.7941,0,1
2021-11-27,4353.85,4762.95,4635.2,4449.15,1861075.0,1669.1752,1907.0697,1467.5042,0,1
2021-11-28,4531.0,4785.5,4590.05,4635.2,1254518.0,1692.7662,1933.1,1273.6006,0,1
2021-11-29,4440.0,4643.85,4519.0,4590.05,1089892.0,1733.4413,1963.4119,1253.438,0,1
2021-11-30,4048.5,4661.5,4221.15,4519.0,2564088.0,1737.7358,1961.4459,1755.939,0,1
2021-12-01,3424.1,4241.6,4129.15,4221.15,2810973.0,1712.2451,1938.8988,2074.8623,0,1
2021-12-02,4046.0,4257.7,4214.95,4129.15,1206294.0,1941.4119,2161.137,2211.217,0,1
2021-12-03,3926.05,4386.5,4359.75,4214.95,2062715.0,1824.0084,2076.108,1937.5458,0,1
2021-12-04,4265.65,4432.85,4317.5,4359.75,1148546.0,1988.7056,2229.2717,1599.6522,0,1
2021-12-05,4231.1,4462.85,4447.35,4317.5,1302962.0,1736.0089,1961.9385,1272.0116,0,1
2021-12-06,4082.95,4495.55,4111.35,4447.35,1125839.0,1661.5659,1873.501,1640.6089,0,1
2021-12-07,3892.6,4237.55,3902.25,4111.35,1744606.0,1487.1351,1693.0544,1760.771,0,1
2021-12-08,3840.0,4104.1,4095.0,3902.25,1164330.0,1407.2332,1589.8035,1909.831,0,1
2021-12-09,3987.7,4181.05,4133.8,4095.0,864387.0,1476.8182,1668.537,2026.52,0,1
2021-12-10,3673.0,4147.45,3782.55,4133.8,1700503.0,1552.2117,1748.3689,1755.2695,0,1
2021-12-11,3689.45,3889.95,3866.15,3782.55,1402566.0,1380.2589,1552.0573,1641.9348,0,1
2021-12-12,3645.0,4102.1,4023.75,3866.15,2003442.0,1268.3567,1431.3998,1748.9824,0,1
2021-12-13,3956.9,4120.05,3961.2,4023.75,1228453.0,1296.6931,1477.725,1885.0681,0,1
2021-12-14,3701.1,3996.85,3879.75,3961.2,1404619.0,1299.7704,1461.373,1361.0034,0,1
2021-12-15,3770.05,4003.3,3964.0,3879.75,945242.0,1134.5388,1276.8896,1469.6511,0,1
2021-12-16,3885.55,4043.95,3925.65,3964.0,1360874.0,1185.0972,1324.9211,1340.1063,0,1
2021-12-17,3759.4,3986.55,3948.65,3925.65,1514133.0,1193.1843,1327.183,1589.3485,0,1
2021-12-18,3915.95,4068.2,4018.8,3948.65,977863.0,1217.3815,1355.75,1574.2721,0,1
2021-12-19,3939.5,4080.0,3984.3,4018.8,902939.0,1132.8444,1270.0255,1661.4496,0,1
2021-12-20,3895.45,4159.0,4119.25,3984.3,1213901.0,1143.6942,1286.7451,1645.802,0,1
2021-12-21,4022.0,4143.65,4050.9,4119.25,1044415.0,1193.8102,1346.0146,1585.5054,0,1
2021-12-22,4025.1,4147.0,4100.0,4050.9,1218656.0,1230.0054,1385.6268,1485.1826,0,1
2021-12-23,4007.75,4114.0,4066.45,4100.0,936750.0,1308.0491,1460.4125,1512.9515,0,1
2021-12-24,4032.4,4132.75,4041.7,4066.45,1389710.0,1322.5399,1485.656,1708.228,0,1
2021-12-25,3761.15,4041.1,3797.45,4041.7,1173810.0,1369.2429,1529.4391,1687.047,0,1
2021-12-26,3605.65,3833.05,3631.45,3797.45,1239265.0,1346.1012,1494.8173,1817.7668,0,1
2021-12-27,3585.0,3772.3,3714.4,3631.45,852080.0,1298.393,1444.7144,1919.1853,0,1
2021-12-28,3625.0,3820.0,3679.2,3714.4,1495398.0,1279.0428,1437.7385,2054.6147,0,1
2021-12-29,3675.15,3781.0,3771.8,3679.2,1061013.0,1236.1165,1395.19,1737.8826,0,1
2021-12-30,3718.5,3861.9,3830.8,3771.8,1096887.0,1199.7285,1341.3353,1484.1201,0,1
2021-12-31,3684.6,3858.0,3766.0,3830.8,1315459.0,1132.5786,1289.0951,1484.5516,0,1
2022-01-01,3717.0,3895.9,3788.55,3766.0,1367572.0,1135.6688,1274.7228,1474.2457,0,1
2022-01-02,3410.8,3852.95,3539.0,3788.55,2070474.0,1075.9099,1217.1108,1572.3939,0,1
2022-01-03,3295.95,3551.9,3410.0,3539.0,1180357.0,1025.0269,1170.1921,1720.5083,0,1
2022-01-04,3060.0,3418.9,3200.8,3410.0,2701444.0,948.43427,1078.4724,1754.4905,0,1
2022-01-05,3000.7,3259.1,3081.7,3200.8,1117415.0,834.70306,961.2564,1817.4452,0,1
2022-01-06,3058.95,3212.8,3152.45,3081.7,974433.0,784.79645,896.3533,1543.7445,0,1
2022-01-07,2928.25,3183.15,3084.55,3152.45,1897170.0,694.97626,796.61725,1464.493,0,1
2022-01-08,3055.05,3265.0,3241.3,3084.55,1012022.0,633.9168,718.1582,1267.3746,0,1
2022-01-09,3207.4,3415.95,3374.8,3241.3,1533040.0,621.31757,696.2597,1040.3138,0,1
2022-01-10,3236.0,3414.4,3244.6,3374.8,1537774.0,675.9115,746.08386,890.9003,0,1
2022-01-11,3190.9,3349.6,3312.7,3244.6,1480671.0,637.06866,690.00494,801.856,0,1
2022-01-12,3263.8,3376.0,3331.65,3312.7,847405.0,590.4874,641.788,1103.8832,0,1
2022-01-13,3275.15,3399.2,3349.45,3331.65,1342470.0,608.14874,667.27765,1330.8046,0,1
2022-01-14,3137.3,3360.95,3212.05,3349.45,1203408.0,670.7026,730.61896,1309.6925,0,1
2022-01-15,3085.9,3247.5,3162.95,3212.05,1218811.0,624.00995,694.1717,1332.258,0,1
2022-01-16,3048.1,3177.4,3085.35,3162.95,1313474.0,620.7258,690.00574,1409.8387,0,1
2022-01-17,2992.0,3274.75,3004.2,3085.35,1555619.0,611.28955,687.0253,1418.1084,0,1
2022-01-18,2466.7,3035.9,2572.65,3004.2,3554210.0,627.6638,699.3328,1204.5726,0,1
2022-01-19,2302.65,2628.75,2413.6,2572.65,2730898.0,564.7007,606.517,1160.6289,0,1
